"","L1","L2","L3","R1","R2","R3"
"MSTRG.32|Solyc00g010525.1",516.61711762685,230.852802913639,925.97303617348,317.733079906801,340.520241343424,367.663404413678
"MSTRG.33|Solyc00g010530.1",0,0,0,0,0,0
"MSTRG.35|Solyc00g010750.2",0,0,0,0,0,0
"MSTRG.36|Solyc00g010760.1",0,0,0,0,0,0
"MSTRG.37|Solyc00g010755.1",0,0,0,0,0,0
"MSTRG.38|Solyc00g010780.1",0,0,0,0,0,0
"MSTRG.39|Solyc00g010930.1",0,0,0,0,0,0
"MSTRG.31",1868.64989065661,729.318409204872,2586.26891584837,1531.51426738803,1562.51044487014,1842.82822948451
"MSTRG.34",379.2885167387,173.507202189869,1099.46689480293,363.317911499425,298.020796738159,356.949286800396
"MSTRG.40",130.789143703,44.1120005567463,411.543571632658,103.416334359387,67.1596161663456,104.321671497746
"MSTRG.41",68.664300444075,57.3456007237702,147.268042790118,65.3155795954023,54.0425036338563,63.1569038256625
"Solyc00g013133.1|Solyc00g013133.1",0,0,0,0,0,0
"Solyc00g013137.1|Solyc00g013137.1",6.53945718515,8.82240011134926,6.05211134753908,6.12333558706896,4.72216051169618,2.81950463507422
"Solyc00g013140.2|Solyc00g013140.2",52.3156574812,33.8192004268388,92.799040662266,21.7718598651341,32.5304390805737,29.3228482047719
"Solyc00g013150.1|Solyc00g013150.1",9.80918577772499,0,14.1215931442579,8.16444744942528,5.24684501299575,5.07510834313359
"Solyc00g013155.1|Solyc00g013155.1",4.9045928888625,0,0,10.2055593117816,11.5430590285907,0
"Solyc00g013160.2|Solyc00g013160.2",58.85511466635,24.9968003154896,46.399520331133,15.6485242780651,9.44432102339236,11.8419194673117
"Solyc00g013170.1|Solyc00g013170.1",24.5229644443125,30.8784003897224,52.4516316786721,10.2055593117816,2.62342250649788,10.1502166862672
"Solyc00g013180.1|Solyc00g013180.1",0,0,0,6.8037062078544,0.524684501299575,4.51120741611875
"MSTRG.42",222.3415442951,180.85920228266,189.632822222891,214.316745547414,229.811811569214,243.605200470412
"Solyc00g014830.3|Solyc00g014830.3",24.5229644443125,17.6448002226985,12.1042226950782,19.7307480027778,30.9563855766749,5.07510834313359
"Solyc00g014840.1|Solyc00g014840.1",6.53945718515,0,6.05211134753908,18.3700067612069,7.87026751949363,6.76681112417812
"MSTRG.43|Solyc00g015600.1",34.3321502220375,47.0528005938627,60.5211134753908,23.132601106705,19.9380110493839,29.3228482047719
"MSTRG.45|Solyc00g011880.3",1441.95030932557,1870.34882360604,2168.67323286817,693.297662580363,527.307923806073,647.35826421304
"MSTRG.46|Solyc00g011890.3",4659.36324441937,4884.66886165037,4369.62439292322,3444.71645303668,3712.1428466945,3005.59194098912
"MSTRG.44",16036.3838822841,7325.532892457,36681.8468774344,182.339326370498,171.047147423662,161.83956605326
"Solyc00g019740.1|Solyc00g019740.1",34.3321502220375,5.88160007423284,8.06948179671878,28.5755660729885,30.9563855766749,14.6614241023859
"Solyc00g019980.2|Solyc00g019980.2",6.53945718515,5.88160007423284,22.1910749409766,2.72148248314176,4.72216051169618,7.89461297820781
"Solyc00g019950.1|Solyc00g019950.1",17.9835072591625,1.47040001855821,10.0868522458985,2.72148248314176,11.5430590285907,24.2477398616383
"Solyc00g019970.2|Solyc00g019970.2",17.9835072591625,22.0560002783731,20.1737044917969,8.84481807021072,20.987380051983,25.9394426426828
"Solyc00g020010.1|Solyc00g020010.1",4.9045928888625,0,6.05211134753908,3.4018531039272,11.5430590285907,1.12780185402969
"Solyc00g020020.2|Solyc00g020020.2",13.0789143703,16.1744002041403,24.2084453901563,5.44296496628352,8.39495202079321,12.4058203943266
"Solyc00g020030.1|Solyc00g020030.1",8.17432148143749,0,14.1215931442579,0,2.62342250649788,5.07510834313359
"Solyc00g020540.2|Solyc00g020540.2",104.6313149624,44.1120005567463,52.4516316786721,6.8037062078544,0,4.51120741611875
"MSTRG.47",261.578287406,226.441602857964,375.230903547423,130.631159190805,151.633820875577,153.944953075052
"MSTRG.50|Solyc00g028960.1",99.7267220735374,82.3424010392597,26.225815839336,0,0,2.25560370805937
"Solyc00g029190.3|Solyc00g029190.3",132.424007999287,69.1088008722359,100.868522458985,2.72148248314176,2.0987380051983,0
"MSTRG.53",138.963465184437,267.612803377594,197.70230401961,260.581947760824,278.082785688775,158.456160491171
"MSTRG.49|Solyc00g027770.3",3413.5966506483,3498.08164414998,3814.8475193988,3268.50046225325,3673.84087809963,3509.71936974039
"Solyc00g030215.1|Solyc00g030215.1",0,2.94080003711642,0,0,0.524684501299575,0
"MSTRG.51|Solyc00g030520.3",619.613568292962,424.945605363323,476.099426006408,581.036510150766,612.306813016604,755.063341272875
"Solyc00g030820.1|Solyc00g030820.1",8.17432148143749,14.7040001855821,16.1389635934376,1.36074124157088,7.87026751949363,2.25560370805937
"MSTRG.52",776.560540736562,826.364810429714,891.677738537425,671.525802715229,717.768397777819,650.741669775129
"MSTRG.54",111.17077214755,73.5200009279105,149.285413239297,613.694299948467,495.826853728099,644.538759577966
"Solyc00g032947.1|Solyc00g032947.1",4.9045928888625,36.7600004639552,0,0,6.82089851689448,8.45851390522265
"Solyc00g039990.2|Solyc00g039990.2",57.2202503700625,70.5792008907941,34.2952976360548,2.72148248314176,6.82089851689448,17.4809287374601
"Solyc00g042640.1|Solyc00g042640.1",11.4440500740125,16.1744002041403,0,0,0,0
"MSTRG.57|Solyc00g042840.1",32.69728592575,14.7040001855821,0,106.137816842529,166.324986911965,126.313807651325
"MSTRG.56|Solyc00g044350.3",1486.09164532534,1296.89281636834,1985.09252199282,2.04111186235632,0,0
"MSTRG.100|Solyc00g020545.1",158.581836739887,10.2928001299075,48.4168907803127,17009.265519636,6315.62734214299,8608.5115518086
"MSTRG.100|Solyc00g020940.1",0,0,0,0,0,0
"MSTRG.101|Solyc00g020960.1",0,0,0,0,0,0
"MSTRG.102|Solyc00g020970.1",0,0,0,0,0,0
"MSTRG.103|Solyc00g020980.1",0,0,0,0,0,0
"MSTRG.104|Solyc00g020990.2",0,0,0,0,0,0
"MSTRG.105",0,0,0,77.5622507695402,40.4007066000673,47.9315787962617
"MSTRG.106|Solyc00g021490.2",0,0,0,0,0,0
"MSTRG.107|Solyc00g021500.2",0,0,0,0,0,0
"MSTRG.108|Solyc00g021510.2",0,0,0,0,0,0
"MSTRG.109|Solyc00g021520.1",0,0,0,0,0,0
"MSTRG.110|Solyc00g021530.2",0,0,0,0,0,0
"MSTRG.113|Solyc00g021650.1",0,0,0,3.4018531039272,0,0
"MSTRG.114|Solyc00g021655.1",0,0,0,0,0,0
"MSTRG.115|Solyc00g022070.1",0,1.47040001855821,0,0,0,0.563900927014843
"MSTRG.116|Solyc00g022080.1",0,0,0,0,0,0
"MSTRG.121|Solyc00g022920.2",0,0,0,0,0,0
"MSTRG.122|Solyc00g023020.2",0,0,0,0,0,0
"MSTRG.123|Solyc00g023030.1",0,0,0,0,0,0
"MSTRG.124|Solyc00g023040.1",0,0,0,0,0,0
"MSTRG.125|Solyc00g023050.2",0,0,0,0,0,0
"MSTRG.126|Solyc00g023250.2",0,0,0,0,0,0
"MSTRG.127|Solyc00g023260.1",0,0,0,0,0,0
"MSTRG.128|Solyc00g023270.2",0,0,0,0,0,0
"MSTRG.129|Solyc00g023470.1",0,0,0,0,0,0
"MSTRG.130|Solyc00g023570.1",0,0,0,4.08222372471264,0,0
"MSTRG.131|Solyc00g023580.1",0,0,0,0,0,0
"MSTRG.132|Solyc00g023590.2",0,0,0,2.72148248314176,0,0
"MSTRG.133|Solyc00g023600.2",0,0,0,0,0,0
"MSTRG.134|Solyc00g023700.2",0,0,0,0,0,0
"MSTRG.135|Solyc00g023710.1",0,0,8.06948179671878,2.04111186235632,0,0
"MSTRG.136|Solyc00g024010.1",0,0,0,0,0,0
"MSTRG.137|Solyc00g024020.1",0,0,0,0,0,0
"MSTRG.138|Solyc00g024030.1",0,0,0,0,0,0
"MSTRG.139|Solyc00g024040.1",0,0,0,0,0,0
"MSTRG.140|Solyc00g024050.1",0,0,0,0,0,0
"MSTRG.143|Solyc00g024370.1",0,0,0,0,0,0
"MSTRG.144|Solyc00g024570.2",0,0,0,0,0,0
"MSTRG.145|Solyc00g024670.1",0,0,0,0,0,0
"MSTRG.146|Solyc00g024680.2",0,0,0,0,0,0
"MSTRG.147|Solyc00g024690.1",0,0,0,0,0,0
"MSTRG.149|Solyc00g025300.1",0,0,2.01737044917969,6.8037062078544,0,0
"MSTRG.150|Solyc00g025400.2",0,0,0,0,1.57405350389873,1.12780185402969
"MSTRG.151|Solyc00g025500.2",0,0,0,0,0,0
"MSTRG.152|Solyc00g025510.1",0,0,0,0,0,0
"MSTRG.153|Solyc00g025520.1",0,0,0,0,0,0
"MSTRG.154|Solyc00g025530.1",0,0,0,0,0,0
"MSTRG.155|Solyc00g025540.2",0,0,0,0,0,0
"MSTRG.156|Solyc00g025650.2",0,0,0,0,0,0
"MSTRG.157|Solyc00g025660.1",0,0,0,0,0,0
"MSTRG.100|Solyc00g026160.3",0,0,0,0.68037062078544,1.04936900259915,0.563900927014843
"MSTRG.111|Solyc00g021630.1",16.348642962875,0,40.3474089835939,2.04111186235632,2.0987380051983,2.81950463507422
"MSTRG.112|Solyc00g021640.3",8.17432148143749,0,0,4.08222372471264,9.44432102339236,5.07510834313359
"MSTRG.117|Solyc00g022090.2",3.269728592575,0,0,1.36074124157088,0,0
"MSTRG.118|Solyc00g022100.1",21.2532358517375,20.5856002598149,20.1737044917969,10.885929932567,44.0734981091643,34.3979565479055
"MSTRG.119|Solyc00g022103.1",29.427557333175,38.2304004825135,0,16.3288948988506,27.2835940675779,16.9170278104453
"MSTRG.120|Solyc00g022107.1",40.8716074071875,26.4672003340478,38.3300385344142,38.1007547639846,57.1906106416537,24.2477398616383
"MSTRG.141|Solyc00g024150.3",84012.406457622,86405.1162905361,92421.7923882694,260.581947760824,190.985158473045,159.020061418186
"MSTRG.142|Solyc00g024160.2",35.967014518325,30.8784003897224,40.3474089835939,2.72148248314176,8.91963652209278,2.81950463507422
"MSTRG.148|Solyc00g025290.1",47.4110645923375,20.5856002598149,50.4342612294924,23.132601106705,35.6785460883711,35.5257584019351
"Solyc00g048515.1|Solyc00g048515.1",14.7137786665875,5.88160007423284,44.3821498819533,0,0,0
"MSTRG.63|Solyc00g049520.2",1141.13527880867,1370.41281729625,1337.51660780614,2854.83512481571,2390.98727242217,2767.62574978885
"MSTRG.64|Solyc00g050130.1",541.140082071162,630.801607961472,722.218620806331,1997.56814262605,1910.37626923175,2090.38073644402
"Solyc00g052545.1|Solyc00g052545.1",0,0,6.05211134753908,0,0,2.25560370805937
"MSTRG.65|Solyc00g050430.3",251.769101628275,230.852802913639,165.424376832735,930.066638613697,1054.09116311085,649.6138679211
"MSTRG.61|Solyc00g047700.3",26800.330409041,27495.00994702,28106.0050979715,24025.9277317962,22399.3060449802,27293.3687684454
"MSTRG.66|Solyc00g052940.3",681.738411551887,630.801607961472,800.896068324339,795.35325569818,737.181724325903,716.718078235866
"MSTRG.67|Solyc00g053440.3",505.173067552837,569.044807182027,784.757104730901,838.216604807662,773.384954915574,814.272938609434
"MSTRG.68|Solyc00g056680.1",122.614822221562,194.092802449684,94.8164111114456,179.617843887356,162.127510901569,165.222971615349
"MSTRG.69|Solyc00g057880.3",429.969309923612,507.288006402582,560.828984871955,163.969319609291,228.762442566615,197.365324455195
"MSTRG.70",2102.43548502572,1732.13122186157,1069.20633806524,372.843100190421,294.872689730361,289.281175558615
"MSTRG.71|Solyc00g059100.3",259.943423109712,241.145603043546,149.285413239297,642.269866021455,505.795859252791,574.615044628125
"MSTRG.74",26.1578287406,8.82240011134926,6.05211134753908,135.393753536303,94.9678947352231,100.938265935657
"MSTRG.72|Solyc00g059500.2",238.690187257975,394.0672049736,203.754415367149,213.636374926628,183.639575454851,346.799070114129
"Solyc00g069880.2|Solyc00g069880.2",4.9045928888625,0,6.05211134753908,1.36074124157088,0,0
"MSTRG.75|Solyc00g068970.2",944.951563254174,301.432003804433,2991.76037613349,644.310977883812,535.702875826866,627.057830840506
"MSTRG.77|Solyc00g071180.3",19.61837155545,8.82240011134926,0,2049.95668042653,2617.12629248228,1054.49473351776
"MSTRG.76|Solyc00g072100.3",933.507513180162,1039.57281312065,1164.02274917668,1415.8512618545,1336.37142481002,1733.99535057064
"MSTRG.80|Solyc00g075035.1",104.6313149624,26.4672003340478,44.3821498819533,15385.2208478212,19420.6721311025,17083.3785839147
"MSTRG.81",0,0,0,467.414616479597,1166.89833089026,1237.19863387057
"Solyc00g080750.3|Solyc00g080750.3",220.706679998812,111.750401410424,205.771785816329,25.8540835898467,43.0241291065652,39.473064891039
"MSTRG.82|Solyc00g082150.3",9264.77596706126,9017.9633138175,9320.25147521019,9044.84703272164,8712.91082858075,9597.59377779264
"MSTRG.83",1526.96325273252,1413.05441783444,1339.53397825532,1319.23863370297,1251.89722010079,1395.09089343472
"MSTRG.85|Solyc00g085070.3",10418.9901602402,10064.8881270309,10798.9840144589,602.8083700159,675.793637673853,699.801050425421
"MSTRG.99|Solyc00g102400.3",32.69728592575,79.4016010021433,24.2084453901563,1133.49745422854,1075.60322766413,965.398387049412
"MSTRG.161",88.2826719995249,73.5200009279105,108.938004255704,267.385653968678,221.416859548421,224.996469878923
"MSTRG.159|Solyc00g106650.2",11.4440500740125,77.9312009835851,123.059597399961,56.4707615251915,71.8817766780418,52.4427862123804
"MSTRG.162",201.088308443362,205.856002598149,242.084453901563,248.335276586686,205.676324509434,292.100680193689
"Solyc00g108550.1|Solyc00g108550.1",8.17432148143749,0,0,0,4.1974760103966,1.69170278104453
"MSTRG.158|Solyc00g107055.1",2104.07034932201,2207.07042785587,1983.07515154364,4515.61981015297,3977.10851985078,4419.85546594234
"MSTRG.88|Solyc00g090110.1",0,0,0,0,0,0
"MSTRG.89|Solyc00g090115.1",0,0,0,0,0,0
"MSTRG.89|Solyc00g090120.2",0,0,0,0,0,0
"MSTRG.90|Solyc00g090130.2",0,0,0,0,0,0
"MSTRG.89|Solyc00g090630.2",0,0,0,0,0,0
"Solyc00g090640.1|Solyc00g090640.1",0,0,0,0,0,0
"Solyc00g090650.1|Solyc00g090650.1",0,0,0,0,0,0
"Solyc00g090660.1|Solyc00g090660.1",0,0,0,0,0,0
"Solyc00g090860.2|Solyc00g090860.2",0,0,0,11.5663005533525,1.57405350389873,9.02241483223749
"Solyc00g092870.1|Solyc00g092870.1",0,0,0,0,0,0
"Solyc00g092880.1|Solyc00g092880.1",0,0,0,0,0,0
"Solyc00g092890.1|Solyc00g092890.1",0,0,0,0,0,0
"Solyc00g092900.2|Solyc00g092900.2",0,0,0,0,0,0
"Solyc00g093100.2|Solyc00g093100.2",0,0,0,0,0,0
"Solyc00g094010.2|Solyc00g094010.2",0,0,0,0,0,0
"Solyc00g094020.2|Solyc00g094020.2",0,0,0,0,0,0
"Solyc00g094520.1|Solyc00g094520.1",0,0,8.06948179671878,6.12333558706896,1.57405350389873,0
"Solyc00g094550.1|Solyc00g094550.1",0,0,0,2.04111186235632,0,0
"Solyc00g095450.1|Solyc00g095450.1",0,0,0,0,0,0
"Solyc00g095460.1|Solyc00g095460.1",0,0,0,0,0,0
"MSTRG.93|Solyc00g095465.1",26.1578287406,2.94080003711642,4.03474089835939,592.602810704118,590.794748463322,752.243836637801
"Solyc00g096060.2|Solyc00g096060.2",0,0,0,0,0,0
"Solyc00g097260.1|Solyc00g097260.1",0,0,0,0,0,0
"Solyc00g099160.1|Solyc00g099160.1",0,0,0,5.44296496628352,4.1974760103966,0
"Solyc00g099460.2|Solyc00g099460.2",0,0,0,0,0,0
"Solyc00g099470.1|Solyc00g099470.1",0,0,0,0,0,0
"Solyc00g099570.2|Solyc00g099570.2",0,0,0,0,0,0
"Solyc00g099880.2|Solyc00g099880.2",0,0,0,0,0,0
"Solyc00g100880.3|Solyc00g100880.3",0,0,0,18.3700067612069,76.0792526884384,38.9091639640242
"Solyc00g101700.1|Solyc00g101700.1",0,0,0,0,0,0
"MSTRG.84|Solyc06g024210.2",134.058872295575,88.2240011134926,463.99520331133,199.348591890134,132.220494327493,144.922538242815
"MSTRG.91|Solyc00g090430.2",181.469936887912,220.560002783731,195.68493357043,238.129717274904,220.892175047121,305.634302442045
"MSTRG.86|Solyc00g090870.3",232.150730072825,310.254403915782,340.935605911368,362.63754087864,301.693588247256,406.008667450687
"MSTRG.87|Solyc00g091170.3",2731.85823909641,2605.54883288515,2719.41536549423,2321.42455811992,2292.87127067914,2411.24036391547
"Solyc00g093000.1|Solyc00g093000.1",6.53945718515,4.41120005567463,8.06948179671878,1.36074124157088,1.04936900259915,0.563900927014843
"Solyc00g094530.1|Solyc00g094530.1",1.6348642962875,1.47040001855821,0,0,4.72216051169618,1.69170278104453
"Solyc00g094540.1|Solyc00g094540.1",3.269728592575,0,2.01737044917969,4.08222372471264,10.4936900259915,10.1502166862672
"MSTRG.92|Solyc00g095860.1",85.0129434069499,94.1056011877254,36.3126680852345,943.674051029405,987.9809159471,1224.79281347624
"MSTRG.94|Solyc00g096460.2",127.519415110425,216.148802728057,215.858638062227,119.745229258237,131.695809826193,180.44829664475
"MSTRG.95",165.121293925037,79.4016010021433,123.059597399961,17.6896361404214,22.0367490545822,10.714117613282
"MSTRG.96|Solyc00g097960.2",277.926930368875,227.912002876523,304.622937826134,89.1285513228926,154.781927883375,124.62210487028
"MSTRG.97|Solyc00g098560.3",413.620666960737,330.840004175597,437.769387471994,1230.11008238008,1256.09469611118,1025.73578624
"MSTRG.98|Solyc00g099580.2",564.028182219187,527.873606662397,466.012573760509,0,0,0
"MSTRG.160|Solyc00g110870.3",1136.23068591981,1214.55041532908,1345.58608960286,7876.65067683304,7456.29144796827,7527.51347472115
"Solyc00g117450.2|Solyc00g117450.2",16.348642962875,24.9968003154896,54.4690021278518,0,2.62342250649788,5.07510834313359
"Solyc00g118680.2|Solyc00g118680.2",0,0,0,2.04111186235632,0,0
"Solyc00g117655.1|Solyc00g117655.1",0,0,0,15.6485242780651,0,0
"Solyc00g117653.1|Solyc00g117653.1",16.348642962875,16.1744002041403,20.1737044917969,24.4933423482758,24.1354870597805,21.9921361535789
"Solyc00g118690.1|Solyc00g118690.1",3.269728592575,1.47040001855821,6.05211134753908,12.2466711741379,5.77152951429533,0.563900927014843
"Solyc00g125275.1|Solyc00g125275.1",58.85511466635,42.6416005381881,6.05211134753908,0,0,0
"MSTRG.164|Solyc00g125990.2",53.9505217774875,82.3424010392597,92.799040662266,57.151132145977,53.5178191325567,32.1423528398461
"MSTRG.164|Solyc00g125980.1",13.0789143703,22.0560002783731,28.2431862885157,8.16444744942528,20.4626955506834,10.1502166862672
"MSTRG.165|Solyc00g126000.1",14.7137786665875,11.7632001484657,52.4516316786721,8.84481807021072,7.34558301819405,21.428235226564
"MSTRG.166|Solyc00g126010.1",17.9835072591625,13.2336001670239,10.0868522458985,7.48407682863984,6.82089851689448,4.51120741611875
"MSTRG.169|Solyc00g127670.2",2501.34237331987,3158.41923986303,2915.10029906466,444.282015372892,413.451387024065,394.73064891039
"MSTRG.168|Solyc00g127660.3",438.14363140505,361.71840456532,403.474089835939,1413.12977937136,1215.16930500982,1275.54389690758
"MSTRG.167|Solyc00g127870.3",925.333191698724,801.368010114224,877.556145393167,973.610358343965,958.598583874324,1152.61349481834
"Solyc00g133110.2|Solyc00g133110.2",0,4.41120005567463,0,0,1.57405350389873,2.25560370805937
"MSTRG.171|Solyc00g128875.1",0,0,0,0,0,0
"MSTRG.172|Solyc00g129670.2",0,0,0,0,0,0
"MSTRG.170|Solyc00g128870.3",958.030477624474,836.657610559621,847.295588655472,1890.06958454195,1788.12478042895,1856.92575265988
"MSTRG.173|Solyc00g136260.1",1101.89853569777,1041.04321313921,1141.83167423571,127.229306086877,149.535082870379,153.381052148037
"MSTRG.175|Solyc00g136565.1",106.266179258687,74.9904009464687,60.5211134753908,732.078787965134,664.775263146562,774.23597279138
"MSTRG.174|Solyc00g136560.3",969.474527698487,849.891210726645,1460.5762052061,19.0503773819923,9.44432102339236,20.8643342995492
"Solyc00g142160.1|Solyc00g142160.1",0,2.94080003711642,0,1.36074124157088,2.0987380051983,3.38340556208906
"Solyc00g142170.3|Solyc00g142170.3",9.80918577772499,0,0,0,0,5.63900927014843
"MSTRG.179|Solyc00g143770.2",134.058872295575,227.912002876523,266.29289929172,81.6444744942528,68.7336696702444,106.577275205805
"MSTRG.178",6.53945718515,5.88160007423284,28.2431862885157,96.6126281515325,62.4374556546495,105.449473351776
"MSTRG.176|Solyc00g140060.3",4322.58119938415,4790.56326046265,5029.30452980498,3014.72222070029,3312.33325670422,2850.51918606003
"MSTRG.181|Solyc00g147577.1",209.2626299248,189.681602394009,94.8164111114456,3300.47788143017,3301.83956667823,3275.13658410221
"Solyc00g157083.1|Solyc00g157083.1",0,0,0,0,0,0
"Solyc00g157080.2|Solyc00g157080.2",26.1578287406,17.6448002226985,40.3474089835939,0,0,0
"MSTRG.184|Solyc00g160780.2",165.121293925037,145.569601837263,187.615451773712,63.2744677330459,47.7462896182614,79.5100307090929
"MSTRG.182|Solyc00g156980.3",1595.6275531766,1426.28801800146,1408.12457352743,123.82745298295,104.412215758616,118.419194673117
"MSTRG.183",631.057618366975,744.022409390454,1593.72265485196,1037.5651966978,957.024530370426,1126.67405217566
"MSTRG.185|Solyc00g164680.2",796.178912292012,770.489609724502,1793.44232932075,198.668221269348,189.411104969147,195.109720747136
"MSTRG.187",1822.87369036056,1979.15842497935,2168.67323286817,649.753942850095,615.979604525701,490.029905575899
"MSTRG.186|Solyc00g170200.1",1934.04446250811,2348.22882963746,3007.89933972692,163.288948988506,143.238868854784,175.373188301616
"Solyc00g170210.3|Solyc00g170210.3",214.167222813662,136.747201725913,203.754415367149,118.384488016667,83.9495202079321,137.027925264607
"Solyc00g171810.3|Solyc00g171810.3",39.2367431109,36.7600004639552,58.5037430262111,25.1737129690613,35.1538615870715,16.3531268834305
"MSTRG.188|Solyc00g174330.3",0,0,0,2157.45523851063,2301.79090720124,2772.70085813199
"MSTRG.188|Solyc00g174340.2",418.5252598496,47.0528005938627,84.7295588655472,0,0,12722.7327153089
"MSTRG.190|Solyc00g179240.2",1213.06930784532,993.99041254535,1989.12726289118,609.612076223754,445.457141603339,618.035416008268
"MSTRG.192|Solyc00g184350.3",1203.2601220676,1410.11361779732,1301.2039397209,1599.55132946657,1473.31407964921,1467.27021209262
"MSTRG.191",673.56409007045,469.057605920069,385.317755793322,832.773639841379,733.508932816806,745.477025513623
"Solyc00g188850.3|Solyc00g188850.3",42.506471703475,0,0,0,0,0
